Tract,Population,Households,Is_DAC,Vulnerability_Percentile,Pollution_Score,Hazardprox_Score,Cumulative_Burden_Score,Weighted_Burden,Weighted_Burden_Norm
36005015200,2666.0,987.0,1,53.73,73.16666666666667,69.2,65.36555555555556,174264.57111111112,0.13278570947412774
36005015300,4161.0,1753.0,1,98.07,76.0,74.8,82.95666666666666,345182.69,0.2630214971269937
36005015500,2943.0,1107.0,1,99.61,76.0,74.6,83.40333333333332,245456.00999999998,0.18703199522843492
36005015700,5520.0,2095.0,1,99.3,75.83333333333333,70.6,81.91111111111111,452149.3333333333,0.3445276893180983
36005015800,1461.0,494.0,1,93.67,72.66666666666667,61.6,75.97888888888889,111005.15666666666,0.08458344911583819
36005015900,2218.0,873.0,1,94.0,76.5,66.6,79.03333333333333,175295.93333333332,0.1335715844430293
36005016000,3903.0,1497.0,1,50.14999999999999,72.83333333333333,63.8,62.2611111111111,243005.1166666666,0.18516446927042146
36005016100,4490.0,1957.0,1,99.92,75.83333333333333,76.2,83.98444444444443,377090.15555555554,0.287334272949994
36005016200,1826.0,506.0,1,69.0,73.0,66.0,69.33333333333333,126602.66666666666,0.09646840323000092
36005016400,1029.0,412.0,1,64.67,73.33333333333333,67.8,68.60111111111111,70590.54333333333,0.053788416767194376
36005016500,1134.0,333.0,1,99.24,76.16666666666667,75.4,83.60222222222222,94804.92,0.07223923074880975
36005016600,2417.0,829.0,1,70.89999999999999,74.0,69.8,71.56666666666666,172976.63333333333,0.13180432966473601
36005016700,3599.0,1150.0,1,99.75,76.16666666666667,70.2,82.03888888888889,295257.9611111111,0.22497996921603491
36005016900,1894.0,564.0,1,98.08,76.16666666666667,74.2,82.81555555555555,156852.66222222222,0.11951822394698741
36005017300,6411.0,2276.0,1,99.89,76.83333333333333,71.8,82.8411111111111,531094.3633333333,0.40468203825528115
36005017500,6116.0,2831.0,1,98.46,76.83333333333333,71.6,82.29777777777777,503333.2088888888,0.3835286588550816
36005017701,4717.0,1374.0,1,99.86,76.33333333333333,79.0,85.06444444444445,401248.9844444445,0.30574276076608475
36005017702,5480.0,1657.0,1,99.37,76.33333333333333,76.4,84.03444444444445,460508.7555555556,0.3508973822711417
36005017901,5096.0,1686.0,1,97.84,76.33333333333333,77.8,83.99111111111111,428018.70222222223,0.326140687578632
36005017902,3816.0,1319.0,1,97.35,76.33333333333333,78.4,84.02777777777779,320650.00000000006,0.24432813549767093
36005018101,3215.0,1040.0,1,99.61,76.33333333333333,70.8,82.24777777777778,264426.60555555555,0.20148716516877266
36005018102,5453.0,2180.0,1,99.83,76.33333333333333,73.8,83.32111111111111,454350.0188888889,0.34620456254000864
36005018301,4665.0,2016.0,1,91.58,76.66666666666667,73.2,80.48222222222222,375449.56666666665,0.2860841808734606
36005018302,3680.0,1460.0,1,86.14,76.66666666666667,73.8,78.86888888888889,290237.5111111111,0.2211544984913841
36005018400,4085.0,1407.0,1,67.89,74.0,75.4,72.43,295876.55000000005,0.22545132012781352
36005018501,2783.0,1240.0,1,98.28,76.66666666666667,61.6,78.8488888888889,219436.4577777778,0.16720567780775872
36005018502,6314.0,2100.0,1,99.68,76.66666666666667,65.6,80.64888888888889,509217.08444444445,0.3880120405609579
36005018900,8460.0,2857.0,1,98.94,76.83333333333333,77.8,84.52444444444444,715076.7999999999,0.5448725441498234
36005019300,5933.0,2410.0,1,98.56,76.5,78.8,84.62,502050.46,0.3825512328630844
36005019400,2070.0,728.0,1,88.44999999999999,74.5,75.2,79.38333333333333,164323.49999999997,0.12521083540761427
36005019500,7143.0,2650.0,1,99.37,76.66666666666667,70.6,82.21222222222222,587241.9033333333,0.44746520919238053
36005019700,7830.0,2513.0,1,99.11,76.33333333333333,79.4,84.94777777777779,665141.1000000001,0.5068226564973332
36005019900,7496.0,3251.0,1,98.3,76.5,76.0,83.60000000000001,626665.6000000001,0.47750518518175344
36005020000,4935.0,1491.0,1,98.58,74.66666666666667,74.8,82.68222222222222,408036.76666666666,0.31091489915535586
36005020100,3868.0,1351.0,1,99.2,76.5,80.2,85.3,329940.39999999997,0.25140721271590744
36005020200,2578.0,972.0,1,93.21,74.83333333333333,74.0,80.6811111111111,207995.9044444444,0.15848823179186908
36005020400,3012.0,1029.0,1,97.81,74.83333333333333,75.2,82.61444444444444,248834.70666666667,0.1896064865959037
