Tract,Population,Households,PM25,Ozone,Diesel_PM,NO2,Toxic_Air_Releases,Superfund_Prox,RMP_Prox,HazWaste_Prox,Percent_HHLeadPaint,Traffic_Prox,DW_Noncomp,WW_Discharge,Socioecon_Percentile,HHVuln_Percentile,Minority_Percentile,HouseType_Percentile,cluster,Is_DAC
36047028900,3678.0,1548.0,44.0,71.0,98.0,98.0,43.0,95.0,0.0,96.0,83.0,92.0,93.0,93.0,86.5,19.86,86.83999999999999,94.62,0,1
36047029000,3232.0,1476.0,38.0,67.0,97.0,91.0,44.0,66.0,0.0,83.0,85.0,81.0,93.0,0.0,72.35000000000001,97.67,59.11,90.79,1,0
36047029100,3599.0,1413.0,44.0,71.0,98.0,97.0,43.0,94.0,0.0,95.0,90.0,92.0,93.0,93.0,45.88,52.04,85.82,90.48,0,1
36047029200,2717.0,1041.0,38.0,66.0,97.0,91.0,44.0,65.0,0.0,82.0,94.0,84.0,93.0,0.0,93.29,85.16,72.69,77.14999999999999,1,1
36047029300,3572.0,1463.0,43.0,71.0,98.0,97.0,43.0,94.0,0.0,95.0,91.0,91.0,93.0,80.0,70.78999999999999,89.92999999999999,89.68,71.38,0,1
36047029400,2587.0,667.0,38.0,66.0,97.0,92.0,44.0,64.0,0.0,82.0,93.0,87.0,93.0,0.0,83.25,96.17,72.22,98.42,1,1
36047029500,4198.0,1896.0,43.0,71.0,98.0,97.0,42.0,94.0,0.0,95.0,99.0,91.0,93.0,80.0,56.58,49.82,81.42,19.44,0,1
36047029600,6101.0,2037.0,38.0,67.0,97.0,91.0,44.0,65.0,0.0,83.0,94.0,81.0,93.0,0.0,98.2,68.08999999999999,68.22,77.58,1,0
36047029700,4725.0,1766.0,43.0,71.0,98.0,97.0,42.0,93.0,0.0,94.0,98.0,91.0,93.0,79.0,70.47,66.86,86.72,85.28999999999999,0,0
36047029800,4183.0,1177.0,38.0,67.0,97.0,91.0,44.0,65.0,0.0,83.0,95.0,79.0,93.0,0.0,81.25,72.61999999999999,71.5,78.14999999999999,1,0
36047029900,2578.0,913.0,42.0,71.0,98.0,97.0,42.0,93.0,0.0,94.0,83.0,91.0,93.0,78.0,85.91,78.83,85.36,78.94,0,1
36047030000,4283.0,1314.0,37.0,67.0,97.0,91.0,44.0,64.0,0.0,84.0,81.0,79.0,93.0,0.0,87.89,74.83,81.25,66.64,1,1
36047030100,3172.0,1103.0,40.0,71.0,98.0,97.0,41.0,93.0,0.0,93.0,96.0,91.0,93.0,77.0,78.94,24.14,87.69,78.64999999999999,0,1
