Tract,Population,Households,PM25,Ozone,Diesel_PM,Toxic_Air_Releases,Percent_HHLeadPaint,Superfund_Prox,RMP_Prox,HazWaste_Prox,WW_Discharge,NO2,DW_Noncomp,Traffic_Prox,Is_DAC,Socioecon_Percentile,HHVuln_Percentile,Minority_Percentile,HouseType_Percentile,Vulnerability_Percentile
36061014602,8433.0,4963.0,53.0,71.0,99.0,44.0,74.0,93.0,0.0,97.0,98.0,98.0,93.0,95.0,0,29.78,29.599999999999998,31.97,48.78,32.15
36061014700,2932.0,1397.0,54.0,69.0,97.0,50.0,41.0,98.0,34.0,99.0,96.0,96.0,93.0,94.0,0,2.12,8.05,70.77,74.28,19.73
36061014801,2942.0,1260.0,54.0,71.0,99.0,45.0,73.0,93.0,28.0,97.0,98.0,98.0,93.0,95.0,0,7.7299999999999995,31.730000000000004,36.64,63.94,25.36
36061014802,6353.0,3097.0,54.0,71.0,99.0,42.0,83.0,93.0,28.0,97.0,98.0,98.0,93.0,95.0,0,31.56,40.510000000000005,52.800000000000004,65.44,45.33
36061014900,5781.0,2887.0,54.0,70.0,97.0,50.0,60.0,97.0,33.0,98.0,97.0,95.0,93.0,95.0,0,10.93,32.98,49.26,93.08,43.54
36061015001,1972.0,935.0,54.0,71.0,99.0,45.0,99.0,94.0,32.0,97.0,98.0,98.0,93.0,94.0,0,5.74,8.219999999999999,6.75,59.72,11.790000000000001
36061015002,4588.0,2132.0,54.0,71.0,99.0,45.0,92.0,94.0,32.0,97.0,98.0,98.0,93.0,94.0,0,3.2399999999999998,23.13,25.619999999999997,52.81,14.93
36061015101,2786.0,1585.0,54.0,70.0,97.0,50.0,92.0,98.0,34.0,98.0,96.0,97.0,93.0,94.0,1,65.75999999999999,99.29,94.45,37.419999999999995,81.08
36061015102,8161.0,4108.0,54.0,69.0,97.0,50.0,14.0,99.0,38.0,98.0,96.0,98.0,93.0,94.0,1,37.03,55.60000000000001,70.84,68.96,56.42
36061015200,7864.0,3524.0,53.0,72.0,99.0,41.0,65.0,93.0,0.0,97.0,99.0,97.0,93.0,97.0,1,55.78999999999999,80.49,67.09,71.38,72.14
36061015301,4644.0,2381.0,54.0,70.0,96.0,49.0,94.0,96.0,33.0,97.0,97.0,96.0,93.0,94.0,0,11.690000000000001,14.6,48.209999999999994,82.63000000000001,31.630000000000003
36061015302,5377.0,2939.0,54.0,70.0,96.0,50.0,67.0,97.0,34.0,97.0,97.0,97.0,93.0,94.0,0,16.42,32.41,32.58,89.02,41.79
36061015401,4666.0,3223.0,54.0,71.0,99.0,42.0,87.0,93.0,0.0,97.0,98.0,98.0,93.0,96.0,0,31.64,24.22,25.45,70.24000000000001,38.14
36061015402,3899.0,1558.0,54.0,72.0,99.0,41.0,75.0,92.0,0.0,97.0,99.0,96.0,93.0,96.0,0,15.740000000000002,17.73,58.26,61.0,28.77
36061015403,4881.0,2411.0,54.0,71.0,99.0,42.0,32.0,92.0,0.0,97.0,98.0,97.0,93.0,95.0,0,46.379999999999995,53.059999999999995,56.45,85.65,65.27
