Tract,Is_DAC,Pollution_Score,Hazardprox_Score,Vulnerability_Percentile,Cumulative_Burden_Score,Weighted_Burden_Norm,Cluster
36047098800,0,65.33333333333333,67.8,90.03,74.38777777777777,0.16551092774338935,0.0
36047099000,0,65.16666666666667,72.2,61.07,66.14555555555556,0.08507762295170711,2.0
36047099200,0,64.16666666666667,70.4,65.77,66.77888888888889,0.1148961199755697,2.0
36047099400,0,52.666666666666664,71.6,55.06999999999999,59.77888888888888,0.09050820299595455,2.0
36047099600,0,52.5,65.4,90.34,69.41333333333334,0.17739778595505107,1.0
36047099800,0,63.666666666666664,64.6,60.260000000000005,62.84222222222221,0.18162541240051033,1.0
36047100400,0,50.666666666666664,69.6,61.39,60.55222222222221,0.14261701019481057,1.0
36047100600,0,50.666666666666664,67.0,60.33,59.33222222222222,0.12102670857327033,1.0
36047100800,0,50.166666666666664,70.4,79.25999999999999,66.60888888888888,0.11632927972395844,1.0
36047101000,0,49.333333333333336,70.8,70.24000000000001,63.45777777777778,0.13364882188484084,1.0
36047101200,1,50.666666666666664,71.2,51.09,57.65222222222223,0.09800717223491322,2.0
36047101400,0,50.166666666666664,71.4,68.89999999999999,63.48888888888888,0.09796365738424467,2.0
36047101600,0,50.0,66.0,50.970000000000006,55.656666666666666,0.06594620714090306,2.0
36047101800,0,63.0,65.4,43.39,57.26333333333334,0.08539052568970586,2.0
36047102000,0,48.833333333333336,67.8,45.27,53.967777777777776,0.07911919135246524,1.0
36047102200,1,49.166666666666664,68.6,64.79,60.852222222222224,0.11466814726714392,1.0
36047102400,0,48.833333333333336,68.8,64.25,60.62777777777777,0.09978554596049583,1.0
36047102600,0,49.833333333333336,68.2,38.59,52.20777777777778,0.12459459359784543,1.0
36047102801,0,47.833333333333336,66.8,60.27,58.30111111111111,0.05553018000631655,1.0
36047103401,1,48.333333333333336,68.0,88.1,68.14444444444445,0.21190406434445472,1.0
36047105801,1,62.166666666666664,58.4,94.1,71.55555555555556,0.32845097674004275,0.0
36047105804,1,60.833333333333336,59.4,98.98,73.07111111111111,0.376108632194601,0.0
36047107001,1,51.0,56.6,80.4,62.666666666666664,0.19238716657724603,1.0
36047107800,1,66.0,66.0,76.21,69.40333333333332,0.2293041102913687,0.0
36047109800,1,68.16666666666667,69.4,85.42999999999999,74.33222222222223,0.1466396460246005,0.0
36047110400,1,67.83333333333333,71.6,98.06,79.16444444444444,0.30595083993118777,0.0
36047110600,1,67.16666666666667,69.6,96.08,77.61555555555555,0.29274952962357287,0.0
36047111000,1,67.5,73.8,95.72,79.00666666666667,0.1768112612738785,0.0
36047111600,1,67.5,72.4,89.75,76.55,0.2291761717029478,0.0
36047111800,1,67.33333333333333,70.8,82.74000000000001,73.62444444444445,0.21564909816777933,0.0
36047112000,1,68.16666666666667,71.8,71.96000000000001,70.64222222222223,0.18290684715797353,0.0
36047112200,1,68.33333333333333,71.8,92.96,77.69777777777777,0.17820395154229846,0.0
36047112400,1,68.16666666666667,71.0,91.47,76.8788888888889,0.19975778491320748,0.0
36047112600,1,68.83333333333333,70.8,89.64,76.42444444444443,0.26985505413802136,0.0
36047112800,1,68.16666666666667,74.0,72.37,71.51222222222223,0.23076818008670688,0.0
36047113000,1,68.5,69.6,92.91,77.00333333333333,0.2510695524772132,0.0
36047113200,1,68.5,68.0,86.63,74.37666666666667,0.13850968732165594,0.0
36047113400,1,70.16666666666667,68.2,98.93,79.0988888888889,0.16863989755173156,0.0
36047114201,1,69.83333333333333,75.4,77.66999999999999,74.30111111111111,0.08571630077024527,0.0
36047114202,1,69.33333333333333,75.6,87.37,77.43444444444445,0.16355719332662408,0.0
36047114400,1,70.16666666666667,72.4,92.0,78.18888888888888,0.16926162729390956,0.0
36047114600,1,69.83333333333333,74.6,86.31,76.91444444444444,0.17582126434383566,0.0
36047115000,1,68.66666666666667,70.8,84.02,74.49555555555555,0.1598472799001209,0.0
36047115200,1,69.33333333333333,71.2,82.35,74.29444444444444,0.18279597178920298,0.0
36047115600,1,70.16666666666667,69.6,96.48,78.74888888888889,0.2549607937265898,0.0
36047115800,1,69.16666666666667,73.4,99.44,80.66888888888889,0.16252110352150884,0.0
36047116000,1,68.66666666666667,68.4,92.17,76.41222222222223,0.16064113616165146,0.0
36047116200,1,68.0,69.0,84.78999999999999,73.92999999999999,0.14843747642631622,0.0
36047116400,1,67.66666666666667,69.6,83.06,73.44222222222221,0.2062175097595537,0.0
36047116600,1,68.83333333333333,66.2,81.67999999999999,72.23777777777777,0.16804802717397901,0.0
36047116800,1,69.33333333333333,71.4,74.99,71.90777777777778,0.13659675511510264,0.0
36047117000,1,69.33333333333333,74.8,75.52,73.21777777777777,0.10962796054861698,0.0
36047117201,1,69.16666666666667,74.8,79.14999999999999,74.37222222222222,0.13402448279589743,0.0
36047117202,1,69.0,74.4,91.89,78.43,0.28590096588592506,0.0
36047117400,1,69.0,74.8,70.56,71.45333333333333,0.22829142166672084,0.0
36047117601,1,68.66666666666667,73.4,84.96000000000001,75.67555555555556,0.19224871693037712,0.0
36047117602,1,68.66666666666667,73.6,92.54,78.2688888888889,0.181481916768273,0.0
36047117800,1,68.66666666666667,75.2,89.85,77.90555555555555,0.10703021362307744,0.0
36047118201,1,68.83333333333333,75.0,59.64,67.82444444444444,0.16537827589984316,2.0
36047118202,1,68.66666666666667,74.8,80.08999999999999,74.5188888888889,0.17159438294319584,0.0
